stock_name,date,open,high,low,close,volume
PFE,2022-08-09 09:00:00,44.918,45.4716,44.8273,45.2946,1323745
PFE,2022-08-09 08:00:00,44.8184,44.9634,44.791,44.8908,11492
PFE,2022-08-09 07:00:00,44.8636,44.8636,44.8182,44.8182,3827
PFE,2022-08-09 06:00:00,44.8727,44.8727,44.8727,44.8727,300
PFE,2022-08-09 05:00:00,44.8727,44.8727,44.8727,44.8727,225
PFE,2022-08-09 04:00:00,44.7819,44.7819,44.7819,44.7819,265
PFE,2022-08-08 19:00:00,44.8273,44.9815,44.8273,44.8636,3024
PFE,2022-08-08 18:00:00,44.8364,44.8364,44.7547,44.7547,1912
PFE,2022-08-08 17:00:00,44.9271,44.9271,44.8286,44.8364,2748
PFE,2022-08-08 16:00:00,44.7638,45.0088,44.7547,44.9271,2396872
PFE,2022-08-08 15:00:00,44.6322,45.0269,44.6322,44.9543,2603884
PFE,2022-08-08 14:00:00,44.6186,44.6912,44.5641,44.6322,819641
PFE,2022-08-08 13:00:00,44.5596,44.6322,44.4371,44.6186,1332522
PFE,2022-08-08 12:00:00,44.9362,44.9453,44.5097,44.5551,1079239
PFE,2022-08-08 11:00:00,45.0405,45.1993,44.9362,44.9453,1503921
PFE,2022-08-08 10:00:00,44.7184,45.0632,44.6639,45.0405,1546825
PFE,2022-08-08 09:00:00,44.7184,44.918,44.4099,44.7193,1860727
PFE,2022-08-08 08:00:00,44.7275,44.7275,44.5551,44.6912,9523
PFE,2022-08-08 07:00:00,44.6912,44.7275,44.673,44.6912,1727
PFE,2022-08-08 06:00:00,44.6639,44.7002,44.4643,44.5369,6553
PFE,2022-08-08 04:00:00,44.7275,44.7275,44.5914,44.6549,4597
PFE,2022-08-05 19:00:00,44.6821,44.6912,44.6549,44.6549,3049
PFE,2022-08-05 18:00:00,44.6912,44.6912,44.6549,44.6912,1025
PFE,2022-08-05 17:00:00,44.7093,44.7093,44.648,44.6912,1937
PFE,2022-08-05 16:00:00,44.6912,44.7275,44.6639,44.6911,1710710
PFE,2022-08-05 15:00:00,44.605,44.7456,44.5324,44.6821,2982277
PFE,2022-08-05 14:00:00,44.8318,44.8425,44.5214,44.6077,1651184
PFE,2022-08-05 13:00:00,44.8091,44.8545,44.7365,44.8318,1254328
PFE,2022-08-05 12:00:00,45.0042,45.0269,44.7547,44.8182,1631644
PFE,2022-08-05 11:00:00,45.2039,45.3445,44.9589,44.9997,2114434
PFE,2022-08-05 10:00:00,45.1041,45.2245,44.8545,45.2084,1724428
PFE,2022-08-05 09:00:00,44.9634,45.2629,44.7728,45.1085,1218984
PFE,2022-08-05 08:00:00,45.0668,45.3071,44.9362,44.9906,8089
PFE,2022-08-05 07:00:00,45.0541,45.0814,45.0088,45.0814,6845
PFE,2022-08-05 06:00:00,45.163,45.163,45.0088,45.0088,4109
PFE,2022-08-05 05:00:00,45.2719,45.2719,45.2719,45.2719,100
PFE,2022-08-04 19:00:00,45.1177,45.2538,45.1177,45.2447,2050
PFE,2022-08-04 18:00:00,45.2084,45.2084,45.1358,45.1358,3113
PFE,2022-08-04 17:00:00,45.0592,45.1812,45.0592,45.1812,2129
PFE,2022-08-04 16:00:00,45.3354,45.3354,45.0541,45.1903,4339965
PFE,2022-08-04 15:00:00,45.3309,45.399,45.1721,45.2538,2374089
PFE,2022-08-04 14:00:00,45.222,45.4126,45.1714,45.3264,1209216
PFE,2022-08-04 13:00:00,45.1313,45.3627,45.1086,45.2277,941592
PFE,2022-08-04 12:00:00,45.1358,45.2266,45.0315,45.1358,949160
PFE,2022-08-04 11:00:00,45.1721,45.1993,45.0178,45.1267,1205588
PFE,2022-08-04 10:00:00,44.8953,45.1993,44.6549,45.1721,2364908
PFE,2022-08-04 09:00:00,45.281,45.408,44.7774,44.8953,1611457
PFE,2022-08-04 08:00:00,45.3264,45.3264,45.146,45.281,7659
PFE,2022-08-04 07:00:00,45.281,45.281,45.281,45.281,770
PFE,2022-08-04 06:00:00,45.3354,45.3354,45.2538,45.2538,214
