,date,stock_name,open,high,low,close,volume
3092,2016-02-17 11:00:00,GS,125.9022,126.2198,125.7351,126.178,591990
3093,2016-02-17 10:00:00,GS,126.1028,126.8717,125.9022,125.9022,1028252
3094,2016-02-17 09:00:00,GS,125.5262,126.9218,125.5262,126.1111,580233
3095,2016-02-17 08:00:00,GS,125.0247,125.5262,125.0247,125.5262,7160
3096,2016-02-16 19:00:00,GS,124.2308,124.6486,124.2308,124.6486,540
3097,2016-02-16 18:00:00,GS,124.4815,124.5233,124.4815,124.5233,400
3098,2016-02-16 17:00:00,GS,124.54,124.54,124.54,124.54,677000
3099,2016-02-16 16:00:00,GS,124.54,124.54,124.3227,124.3227,2722333
3100,2016-02-16 15:00:00,GS,124.4899,124.7657,124.1974,124.4731,1570389
3101,2016-02-16 14:00:00,GS,124.9829,124.9997,124.306,124.4838,449454
3102,2016-02-16 13:00:00,GS,124.7406,125.0582,124.465,124.9662,568535
3103,2016-02-16 12:00:00,GS,123.8965,124.7824,123.8714,124.7824,691799
3104,2016-02-16 11:00:00,GS,123.8714,124.1974,123.2279,123.8631,786875
3105,2016-02-16 10:00:00,GS,124.3227,124.5233,122.1248,123.8798,1090990
3106,2016-02-16 09:00:00,GS,124.2893,125.7602,123.7461,124.3311,826548
3107,2016-02-16 08:00:00,GS,124.7322,124.7322,124.1054,124.2726,4967
3108,2016-02-16 07:00:00,GS,124.3561,124.5316,124.0219,124.5233,3530
3109,2016-02-16 06:00:00,GS,123.9383,124.8409,123.9383,124.8409,1000
3110,2016-02-16 04:00:00,GS,123.6876,123.6876,123.6876,123.6876,4800
3111,2016-02-12 19:00:00,GS,121.9994,121.9994,121.9994,121.9994,200
3112,2016-02-12 18:00:00,GS,121.8657,121.9325,121.64,121.9325,400
3113,2016-02-12 17:00:00,GS,121.5982,121.5982,121.5982,121.5982,100
3114,2016-02-12 16:00:00,GS,122.1248,122.4089,121.3361,121.5982,371037
3115,2016-02-12 15:00:00,GS,121.9493,122.4423,121.6902,122.1916,2125279
3116,2016-02-12 14:00:00,GS,121.1219,122.2919,121.0642,121.9493,938411
3117,2016-02-12 13:00:00,GS,121.4311,121.4311,120.4617,121.1302,438038
3118,2016-02-12 12:00:00,GS,121.1804,121.9325,121.0467,121.4311,908923
3119,2016-02-12 11:00:00,GS,120.6874,121.849,120.5954,121.1804,1185655
3120,2016-02-12 10:00:00,GS,120.5619,121.0968,120.1608,120.6957,1213330
3121,2016-02-12 09:00:00,GS,119.7847,121.7234,119.6343,120.5996,1025128
3122,2016-02-12 08:00:00,GS,120.0939,120.236,119.0911,120.1357,16950
3123,2016-02-12 07:00:00,GS,119.9268,119.9268,119.9268,119.9268,100
3124,2016-02-12 06:00:00,GS,119.885,120.2109,119.885,120.2109,850
3125,2016-02-12 05:00:00,GS,119.4671,119.9268,118.6816,119.9268,700
