,date,returns,rewards,portfolio_values
99,2023-08-21,-0.0015128254890441895,-264.58714836683464,108315.34375
100,2023-08-22,-0.0041536688804626465,-263.7175202920237,107865.4375
101,2023-08-23,0.006889700889587402,-263.36789443041994,108608.59375
102,2023-08-24,-0.010771691799163818,-262.30749404516826,107438.6953125
103,2023-08-25,0.007560610771179199,-261.6779114409699,108251.0
104,2023-08-28,0.004137635231018066,-261.3949865079717,108698.90625
105,2023-08-29,0.009604811668395996,-262.1422873270184,109742.9375
106,2023-08-30,0.002477407455444336,-263.17185901997175,110014.8203125
107,2023-08-31,-0.0030570626258850098,-263.742917818115,109678.5
108,2023-09-01,0.005525708198547363,-264.98605050625446,110284.5546875
109,2023-09-05,-0.0016980767250061035,-265.93344049569345,110097.28125
110,2023-09-06,-0.009502530097961426,-265.77028561524725,109051.078125
111,2023-09-07,-0.0023410916328430176,-265.38600064855893,108795.78125
112,2023-09-08,0.0051784515380859375,-265.4524338437726,109359.1796875
113,2023-09-11,0.0005873441696166992,-265.55985607425,109423.40625
114,2023-09-12,0.002664804458618164,-265.9148644284732,109714.9921875
115,2023-09-13,0.001885056495666504,-266.44639017399504,109921.8046875
116,2023-09-14,0.011088371276855469,-268.4046010469147,111140.6640625
117,2023-09-15,-0.008760392665863037,-269.0971558547898,110167.03125
118,2023-09-18,0.003224492073059082,-270.12050103413657,110522.265625
119,2023-09-19,0.00015032291412353516,-271.1137025265607,110538.875
120,2023-09-20,-0.011233270168304443,-270.9059316740408,109297.1640625
121,2023-09-21,-0.012631535530090332,-269.95865169169474,107916.5703125
122,2023-09-22,-0.0028187036514282227,-268.9338065562027,107612.3828125
123,2023-09-25,0.005092620849609375,-268.0861714590781,108160.40625
124,2023-09-26,-0.012480735778808594,-267.01911323363186,106810.484375
125,2023-09-27,0.002597808837890625,-265.9531829071428,107087.953125
126,2023-09-28,0.0021877288818359375,-264.92937929043853,107322.2265625
127,2023-09-29,-0.0026606321334838867,-263.89532333944913,107036.6796875
128,2023-10-02,0.0020477771759033203,-262.8848132902021,107255.8671875
129,2023-10-03,-0.00881648063659668,-261.92461127440373,106310.25
130,2023-10-04,-0.0013946294784545898,-260.9935095050794,106161.984375
131,2023-10-05,-4.8279762268066406e-05,-260.0760693241672,106156.859375
132,2023-10-06,0.00493621826171875,-259.0970487988108,106680.875
133,2023-10-09,0.008510470390319824,-258.19648994620394,107588.78125
134,2023-10-10,0.0005471706390380859,-257.3232098033345,107647.65625
135,2023-10-11,-0.006048381328582764,-256.3778504519756,106996.5625
136,2023-10-12,-0.0023409128189086914,-255.43898674073566,106746.09375
137,2023-10-13,0.0018069744110107422,-254.50759689449072,106938.9765625
138,2023-10-16,0.010203003883361816,-253.76673228395077,108030.078125
139,2023-10-17,-0.002246558666229248,-252.9734389077288,107787.3828125
140,2023-10-18,-0.007522523403167725,-252.07572919968854,106976.546875
141,2023-10-19,-0.002806425094604492,-251.18896522033828,106676.328125
142,2023-10-20,-0.010294914245605469,-250.55336313991,105578.1015625
143,2023-10-23,-0.0054489970207214355,-250.16905085560438,105002.8046875
144,2023-10-24,-0.0014187097549438477,-249.86221338040616,104853.8359375
145,2023-10-25,-0.007892191410064697,-250.1024659439008,104026.3125
146,2023-10-26,-0.010932564735412598,-251.35828663664898,102889.0390625
147,2023-10-27,-0.020705580711364746,-255.37209827990873,100758.6640625
