TIME_WINDOW,K_SIZE,CONV_MID,CONV_FINAL,LEARNING_RATE,train_portfolio_value,train_drawdown,train_sharpe,train_cumulative,test_portfolio_value,test_drawdown,test_sharpe,test_cumulative,Normalized Cumulative,Normalized Sharpe,Normalized Max Drawdown,Metric
60,3,5,20,0.02,100000,0,,1,100000,0,,1,0.279868812,0.47489937,1,0.584922727
60,3,20,10,0.01,100000,0,,1,100000,0,,1,0.279868812,0.47489937,1,0.584922727
60,4,20,10,0.02,100000,0,,1,100000,0,,1,0.279868812,0.47489937,1,0.584922727
60,5,5,5,0.02,100000,0,,1,100000,0,,1,0.279868812,0.47489937,1,0.584922727
60,5,20,20,0.02,100000,0,,1,100000,0,,1,0.279868812,0.47489937,1,0.584922727
90,3,10,10,0.02,100000,0,,1,100000,0,,1,0.279868812,0.47489937,1,0.584922727
90,3,20,5,0.02,834937,-0.314272706,1.262835957,8.34937,100000,0,,1,0.279868812,0.47489937,1,0.584922727
90,3,20,10,0.01,100000,0,,1,100000,0,,1,0.279868812,0.47489937,1,0.584922727
90,3,20,20,0.01,100000,0,,1,100000,0,,1,0.279868812,0.47489937,1,0.584922727
90,4,5,5,0.02,100000,0,,1,100000,0,,1,0.279868812,0.47489937,1,0.584922727
90,4,10,20,0.01,100000,0,,1,100000,0,,1,0.279868812,0.47489937,1,0.584922727
90,4,10,20,0.02,100000,0,,1,100000,0,,1,0.279868812,0.47489937,1,0.584922727
90,5,10,10,0.02,100000,0,,1,100000,0,,1,0.279868812,0.47489937,1,0.584922727
30,5,10,20,0.01,792884.94,-0.34531461,1.207781493,7.928849375,146965.23,-0.300938175,0.855996023,1.469652344,0.483498816,0.679867214,0.556433265,0.573266431
30,4,5,10,0.02,429488.12,-0.280493277,0.983873959,4.29488125,117581.13,-0.166229354,0.520875353,1.175811328,0.356096392,0.599622727,0.754986845,0.570235321
90,5,5,10,0.01,674744.6,-0.28039269,1.219156233,6.74744625,109810.79,-0.146781951,0.405571389,1.098107891,0.322406043,0.572013248,0.783651274,0.559356855
90,5,10,20,0.01,379526.7,-0.288702715,0.931665711,3.795266875,115387.266,-0.190337946,0.557917624,1.153872656,0.346584309,0.608492482,0.719452072,0.558176288
30,3,20,10,0.02,449430.22,-0.385159082,0.944651764,4.494302188,130936.24,-0.275645044,0.624245461,1.309362422,0.414000946,0.624374651,0.593713984,0.54402986
60,3,20,20,0.01,402127.8,-0.308327142,0.943427813,4.021278125,124147.2,-0.282342009,0.584853378,1.241472031,0.384565299,0.614942235,0.583843016,0.527783517
30,4,20,10,0.01,872936.3,-0.344323184,1.224048552,8.729363125,124078.9,-0.289101379,0.558459282,1.240788984,0.384269147,0.608622181,0.573880068,0.522257132
60,4,10,20,0.01,658127.9,-0.280392918,1.182415699,6.58127875,126499.66,-0.321472036,0.642261367,1.264996563,0.394764972,0.628688551,0.526167455,0.516540326
90,5,10,5,0.02,353584.97,-0.273662675,0.858469453,3.535849688,119722.7,-0.316776353,0.516860679,1.197227031,0.365381727,0.598661415,0.53308864,0.499043928
60,5,20,20,0.01,631605.94,-0.217781255,1.23329074,6.316059375,98603.27,-0.279663668,0.106217874,0.986032734,0.27381294,0.50033319,0.587790748,0.453978959
60,3,10,20,0.02,,,,,,,,,-0.153707228,0.47489937,1,0.44039738
