date,TTM Net Income (Billions),Shareholder's Equity (Billion),Return on Equity(%),ticker
30/6/2024,52.22,340.55,15.79,JPM
31/3/2024,48.51,336.64,14.99,JPM
31/12/2023,47.76,327.88,15.15,JPM
30/9/2023,49.49,317.37,16.15,JPM
30/6/2023,46.06,312.52,15.4,JPM
31/3/2023,40.24,303.08,13.76,JPM
31/12/2022,35.89,292.33,12.46,JPM
30/9/2022,35.22,288.02,12.21,JPM
30/6/2022,37.2,286.14,12.87,JPM
31/3/2022,40.5,285.9,14.01,JPM
31/12/2021,46.5,294.13,16.16,JPM
30/9/2021,48.28,290.04,16.99,JPM
30/6/2021,46.06,286.39,16.49,JPM
31/3/2021,38.83,280.71,14.18,JPM
31/12/2020,27.41,279.35,10.19,JPM
30/9/2020,23.8,271.11,9,JPM
30/6/2020,23.39,264.47,8.9,JPM
31/3/2020,28.32,261.26,10.79,JPM
31/12/2019,34.64,261.33,13.21,JPM
30/9/2019,33.19,264.35,12.72,JPM
30/6/2019,32.54,263.22,12.53,JPM
31/3/2019,31.22,259.84,12.09,JPM
31/12/2018,30.71,256.52,11.94,JPM
30/9/2018,27.84,258.96,10.83,JPM
30/6/2018,26.16,257.46,10.18,JPM
31/3/2018,24.83,256.2,9.65,JPM
31/12/2017,22.57,255.69,8.78,JPM
30/9/2017,25.04,258.38,9.75,JPM
30/6/2017,24.59,258.48,9.62,JPM
31/3/2017,23.76,255.86,9.35,JPM
31/12/2016,22.83,254.19,9.03,JPM
30/9/2016,21.74,254.33,8.66,JPM
30/6/2016,22.2,252.42,8.92,JPM
31/3/2016,22.25,250.16,9.04,JPM
31/12/2015,22.65,247.57,9.34,JPM
30/9/2015,21.99,245.73,9.21,JPM
30/6/2015,20.84,241.21,8.87,JPM
31/3/2015,20.64,235.86,8.91,JPM
31/12/2014,20.08,231.73,8.83,JPM
30/9/2014,20.56,231.28,9.25,JPM
30/6/2014,14.79,227.31,6.84,JPM
31/3/2014,15.32,219.66,7.24,JPM
31/12/2013,16.56,211.18,7.94,JPM
30/9/2013,16.9,206.67,8.17,JPM
30/6/2013,22.9,209.24,11.17,JPM
31/3/2013,21.43,207.09,10.68,JPM
31/12/2012,19.88,204.07,10.13,JPM
30/9/2012,17.99,199.69,9.42,JPM
30/6/2012,16.58,191.57,8.88,JPM
31/3/2012,17.01,189.27,9.22,JPM
31/12/2011,17.57,183.57,9.64,JPM
30/9/2011,18.55,182.29,10.28,JPM
30/6/2011,18.63,182.88,10.45,JPM
31/3/2011,17.93,180.6,10.22,JPM
31/12/2010,15.76,176.11,9.19,JPM
30/9/2010,14.3,173.83,8.47,JPM
30/6/2010,13.52,171.12,8.15,JPM
31/3/2010,10.23,164.72,6.32,JPM
31/12/2009,8.77,165.37,5.38,JPM
30/6/2024,88.14,268.48,35.95,MSFT
31/3/2024,86.18,253.15,37.54,MSFT
31/12/2023,82.54,238.27,38.4,MSFT
30/9/2023,77.1,220.71,38.32,MSFT
30/6/2023,72.36,206.22,38.2,MSFT
31/3/2023,69.02,194.68,38.46,MSFT
31/12/2022,67.45,183.14,39.32,MSFT
30/9/2022,69.79,173.57,42.1,MSFT
30/6/2022,72.74,166.54,45.36,MSFT
31/3/2022,72.46,162.92,46.98,MSFT
31/12/2021,71.19,160.01,48.39,MSFT
30/9/2021,67.88,151.98,48.6,MSFT
30/6/2021,61.27,141.99,46.23,MSFT
31/3/2021,56.02,134.51,44.24,MSFT
31/12/2020,51.31,130.24,42.19,MSFT
30/9/2020,47.5,123.39,40.74,MSFT
30/6/2020,44.28,118.3,39.45,MSFT
31/3/2020,46.27,114.5,42.74,MSFT
31/12/2019,44.32,110.11,42.89,MSFT
30/9/2019,41.09,106.06,41.57,MSFT
30/6/2019,39.24,102.33,41.82,MSFT
31/3/2019,34.93,94.86,39.28,MSFT
31/12/2018,33.54,92.13,39.45,MSFT
30/9/2018,18.82,85.97,23.07,MSFT
30/6/2018,16.57,82.72,20.09,MSFT
31/3/2018,15.77,79.24,18.83,MSFT
31/12/2017,13.83,78.36,17,MSFT
30/9/2017,26.4,89.65,33.43,MSFT
30/6/2017,25.49,87.71,34.37,MSFT
31/3/2017,24.28,69.73,34.58,MSFT
31/12/2016,22.55,68.81,31.54,MSFT
30/9/2016,21.3,70.37,28.99,MSFT
30/6/2016,20.54,72,27.29,MSFT
31/3/2016,10.48,74.81,13.56,MSFT
31/12/2015,11.71,76.78,14.44,MSFT
30/9/2015,12.56,77.45,14.79,MSFT
30/6/2015,12.19,80.08,13.85,MSFT
31/3/2015,20,90.13,22.1,MSFT
31/12/2014,20.68,91.88,23.02,MSFT
30/9/2014,21.37,90.17,24.25,MSFT
30/6/2014,22.07,89.78,25.67,MSFT
31/3/2014,22.43,87.42,26.93,MSFT
31/12/2013,22.82,85.1,28.32,MSFT
30/9/2013,22.64,81.64,29.23,MSFT
30/6/2013,21.86,78.94,29.44,MSFT
31/3/2013,16.41,76.69,23.07,MSFT
31/12/2012,15.46,72.58,22.37,MSFT
30/9/2012,15.71,68.84,23.44,MSFT
30/6/2012,16.98,66.36,26.27,MSFT
31/3/2012,23.34,68.66,37.46,MSFT
31/12/2011,23.47,64.12,40.11,MSFT
30/9/2011,23.48,59.39,43,MSFT
30/6/2011,23.15,57.08,44.96,MSFT
31/3/2011,21.79,53.45,44.69,MSFT
31/12/2010,20.57,48.48,43.92,MSFT
30/9/2010,20.6,46.94,44.99,MSFT
30/6/2010,18.76,46.18,42.3,MSFT
31/3/2010,17.29,45.71,40.49,MSFT
31/12/2009,16.26,44.28,40.14,MSFT
30/6/2024,-2.6,87.98,-2.83,PFE
31/3/2024,-0.31,92.56,-0.33,PFE
31/12/2023,2.12,89.29,2.19,PFE
30/9/2023,10.48,97.2,10.65,PFE
30/6/2023,21.47,99.29,22.06,PFE
31/3/2023,29.05,101.24,30.78,PFE
31/12/2022,31.37,95.92,34.96,PFE
30/9/2022,29.77,92.89,34.97,PFE
30/6/2022,29.31,87.47,36.23,PFE
31/3/2022,24.97,82.69,32.59,PFE
31/12/2021,21.98,77.46,30.05,PFE
30/9/2021,19.43,75.97,27.9,PFE
30/6/2021,12.76,70.32,19.03,PFE
31/3/2021,10.68,68.87,16.28,PFE
31/12/2020,9.16,63.47,14.15,PFE
30/9/2020,7.73,65.5,11.94,PFE
30/6/2020,13.94,64.56,21.55,PFE
31/3/2020,15.5,65.34,24.39,PFE
31/12/2019,16.03,63.45,25.86,PFE
30/9/2019,16.22,65.4,26.13,PFE
30/6/2019,12.65,59.92,19.88,PFE
31/3/2019,11.48,59.16,17.34,PFE
31/12/2018,11.15,63.76,16.16,PFE
30/9/2018,23.82,71.66,33.55,PFE
30/6/2018,22.55,70.12,32.98,PFE
31/3/2018,21.75,70.54,33.2,PFE
31/12/2017,21.31,71.66,34.06,PFE
30/9/2017,9.81,61.11,16.46,PFE
30/6/2017,8.32,58.69,13.82,PFE
31/3/2017,7.3,58.75,11.9,PFE
31/12/2016,7.22,59.84,11.55,PFE
30/9/2016,6.27,63.6,9.83,PFE
30/6/2016,7.04,63.07,10.9,PFE
31/3/2016,7.62,63.35,11.61,PFE
31/12/2015,6.96,65,10.43,PFE
30/9/2015,8.36,67.12,12.23,PFE
30/6/2015,8.9,67.18,12.5,PFE
31/3/2015,9.18,67.59,12.47,PFE
31/12/2014,9.14,71.62,11.98,PFE
30/9/2014,10.48,78.31,13.52,PFE
30/6/2014,10.4,76.96,13.42,PFE
31/3/2014,21.58,78.07,27.67,PFE
31/12/2013,22,76.62,27.78,PFE
30/9/2013,25.75,78.35,32,PFE
30/6/2013,26.37,78.98,32.39,PFE
31/3/2013,15.53,82.83,19.02,PFE
31/12/2012,14.57,81.68,17.8,PFE
30/9/2012,9.69,82.12,11.81,PFE
30/6/2012,10.22,79.96,12.14,PFE
31/3/2012,9.58,83.68,11.08,PFE
31/12/2011,10.01,82.62,11.35,PFE
30/9/2011,11.46,90.53,12.79,PFE
30/6/2011,8.59,88.96,9.65,PFE
31/3/2011,8.45,90.53,9.56,PFE
31/12/2010,8.26,88.27,9.35,PFE
30/9/2010,6.13,88.07,6.9,PFE
30/6/2010,8.15,86.88,9.77,PFE
31/3/2010,7.93,90.08,10.23,PFE
31/12/2009,8.64,90.45,12.32,PFE
30/6/2024,14.6,50.56,29.52,PG
31/3/2024,14.85,50.33,30.57,PG
31/12/2023,14.49,48.83,30.61,PG
30/9/2023,14.95,48.01,32.29,PG
30/6/2023,14.37,47.07,31.66,PG
31/3/2023,14.04,45.42,30.97,PG
31/12/2022,14,44.73,30.82,PG
30/9/2022,14.29,44.33,31.43,PG
30/6/2022,14.46,46.85,31.45,PG
31/3/2022,14.31,45.75,31.17,PG
31/12/2021,14.23,44.89,30.79,PG
30/9/2021,13.87,46.41,29.42,PG
30/6/2021,14.04,46.65,29.44,PG
31/3/2021,13.93,46.92,29.19,PG
31/12/2020,13.58,48.54,28.6,PG
30/9/2020,13.45,48.58,28.72,PG
30/6/2020,12.76,46.88,27.49,PG
31/3/2020,4.73,45.94,10.14,PG
31/12/2019,4.55,45.91,9.29,PG
30/9/2019,4.03,46.98,7.88,PG
30/6/2019,3.63,47.58,6.92,PG
31/3/2019,10.77,55.55,20,PG
31/12/2018,10.52,54.44,19.6,PG
30/9/2018,9.83,52.5,18.28,PG
30/6/2018,9.49,52.88,17.41,PG
31/3/2018,9.81,54.95,17.77,PG
31/12/2017,9.84,54.72,17.85,PG
30/9/2017,15.22,55.42,27.74,PG
30/6/2017,15.08,55.78,27.04,PG
31/3/2017,14.82,54.55,26.31,PG
31/12/2016,15.04,53.74,26.1,PG
30/9/2016,10.37,58.95,17.35,PG
30/6/2016,10.25,57.98,16.87,PG
31/3/2016,8.89,59.85,14.32,PG
31/12/2015,8.35,62.3,13.27,PG
30/9/2015,7.51,62.95,11.82,PG
30/6/2015,6.91,63.05,10.7,PG
31/3/2015,8.89,63.38,13.42,PG
31/12/2014,9.29,64.81,13.68,PG
30/9/2014,10.35,66.83,14.95,PG
30/6/2014,11.39,69.98,16.33,PG
31/3/2014,10.76,70.04,15.49,PG
31/12/2013,10.72,70.14,15.55,PG
30/9/2013,11.35,68.82,16.64,PG
30/6/2013,11.14,68.71,16.56,PG
31/3/2013,12.64,67.95,19.13,PG
31/12/2012,12.54,67.32,19.12,PG
30/9/2012,10.23,64.95,15.76,PG
30/6/2012,10.5,64.04,16.12,PG
31/3/2012,9.4,65.91,14.22,PG
31/12/2011,9.86,64.9,14.83,PG
30/9/2011,11.51,65.63,17.32,PG
30/6/2011,11.56,68,17.56,PG
31/3/2011,11.25,67.43,17.53,PG
31/12/2010,10.97,64.71,17.12,PG
30/9/2010,12.29,63.2,18.88,PG
30/6/2010,12.52,61.44,18.95,PG
31/3/2010,13.02,66.77,19.57,PG
31/12/2009,13.05,68.95,20.07,PG
30/6/2024,0.25,0.79,46.76,UL
31/3/2024,0.21,0.68,60.25,UL
30/6/2024,34.16,276.27,15.03,XOM
31/3/2024,32.8,213.05,15.62,XOM
31/12/2023,36.01,212.54,17.28,XOM
30/9/2023,41.13,207.53,19.98,XOM
30/6/2023,51.72,207,25.57,XOM
