Date,Company,Stock Price,Net EPS,PE Ratio
31/12/2011,JPM,23.34,4.47,5.22
30/9/2011,JPM,20.97,4.69,4.47
30/6/2011,JPM,28.34,4.68,6.05
31/3/2011,JPM,31.74,4.5,7.05
31/12/2010,JPM,29.17,3.96,7.37
30/9/2010,JPM,26.14,3.58,7.3
30/6/2010,JPM,25.11,3.39,7.41
31/3/2010,JPM,30.62,2.58,11.87
31/12/2009,JPM,28.48,2.24,12.71
27/9/2024,MSFT,428.02,,36.24
30/6/2024,MSFT,446.16,11.81,37.78
31/3/2024,MSFT,419.23,11.55,36.3
31/12/2023,MSFT,374.02,11.06,33.82
30/9/2023,MSFT,313.42,10.33,30.34
30/6/2023,MSFT,337.31,9.69,34.81
31/3/2023,MSFT,284.95,9.23,30.87
31/12/2022,MSFT,236.44,9,26.27
30/9/2022,MSFT,228.97,9.28,24.67
30/6/2022,MSFT,251.96,9.64,26.14
31/3/2022,MSFT,301.73,9.58,31.5
31/12/2021,MSFT,328.46,9.39,34.98
30/9/2021,MSFT,274.83,8.94,30.74
30/6/2021,MSFT,263.58,7.69,34.28
31/3/2021,MSFT,228.87,6.92,33.07
31/12/2020,MSFT,215.42,6.4,33.66
30/9/2020,MSFT,203.17,5.18,39.22
30/6/2020,MSFT,196.1,5.75,34.1
31/3/2020,MSFT,151.55,6,25.26
31/12/2019,MSFT,151.13,6.42,23.54
30/9/2019,MSFT,132.79,6.05,21.95
30/6/2019,MSFT,127.95,5.75,22.25
31/3/2019,MSFT,112.23,4.5,24.94
31/12/2018,MSFT,96.24,4.31,22.33
30/9/2018,MSFT,107.9,2.41,44.77
30/6/2018,MSFT,92.67,2.11,43.92
31/3/2018,MSFT,85.4,1.8,47.45
31/12/2017,MSFT,79.67,1.46,54.57
30/9/2017,MSFT,69.03,2.94,23.48
30/6/2017,MSFT,63.54,2.7,23.53
31/3/2017,MSFT,60.37,2.26,26.71
31/12/2016,MSFT,56.62,2.12,26.71
30/9/2016,MSFT,52.14,2.08,25.07
30/6/2016,MSFT,46.03,2.05,22.45
31/3/2016,MSFT,49.33,1.26,39.15
31/12/2015,MSFT,49.21,1.4,35.15
30/9/2015,MSFT,38.94,1.49,26.13
30/6/2015,MSFT,38.64,1.46,26.47
31/3/2015,MSFT,35.35,2.41,14.67
31/12/2014,MSFT,40.1,2.48,16.17
30/9/2014,MSFT,39.77,2.55,15.6
30/6/2014,MSFT,35.56,2.63,13.52
31/3/2014,MSFT,34.71,2.67,13
31/12/2013,MSFT,31.44,2.71,11.6
30/9/2013,MSFT,27.76,2.69,10.32
30/6/2013,MSFT,28.61,2.6,11
31/3/2013,MSFT,23.53,1.95,12.07
31/12/2012,MSFT,21.79,1.83,11.91
30/9/2012,MSFT,24.08,1.85,13.01
30/6/2012,MSFT,24.58,2,12.29
31/3/2012,MSFT,25.75,2.75,9.36
31/12/2011,MSFT,20.59,2.76,7.46
30/9/2011,MSFT,19.6,2.75,7.13
30/6/2011,MSFT,20.34,2.69,7.56
31/3/2011,MSFT,19.73,2.51,7.86
31/12/2010,MSFT,21.57,2.35,9.18
30/9/2010,MSFT,18.81,2.32,8.11
30/6/2010,MSFT,17.58,2.1,8.37
31/3/2010,MSFT,22.27,1.93,11.54
31/12/2009,MSFT,23.07,1.81,12.75
27/9/2024,PFE,29.09,,0
30/6/2024,PFE,27.6,-0.46,0
31/3/2024,PFE,26.97,-0.06,0
31/12/2023,PFE,27.56,0.36,76.57
30/9/2023,PFE,31.32,1.83,17.12
30/6/2023,PFE,34.25,3.76,9.11
31/3/2023,PFE,37.69,5.08,7.42
31/12/2022,PFE,46.9,5.48,8.56
30/9/2022,PFE,39.71,5.2,7.64
30/6/2022,PFE,47.2,5.11,9.24
31/3/2022,PFE,46.24,4.36,10.61
31/12/2021,PFE,52.35,3.85,13.6
30/9/2021,PFE,37.8,3.36,11.25
30/6/2021,PFE,34.1,2.33,14.64
31/3/2021,PFE,31.24,1.96,15.94
31/12/2020,PFE,31.4,1.71,18.36
30/9/2020,PFE,29.38,1.55,18.95
30/6/2020,PFE,25.92,2.52,10.29
31/3/2020,PFE,25.61,2.8,9.15
31/12/2019,PFE,30.43,2.87,10.6
30/9/2019,PFE,27.64,2.86,9.66
30/6/2019,PFE,33.01,2.19,15.07
31/3/2019,PFE,32.08,1.95,16.45
31/12/2018,PFE,32.69,1.86,17.58
30/9/2018,PFE,32.75,3.95,8.29
30/6/2018,PFE,26.73,3.73,7.17
31/3/2018,PFE,25.9,3.59,7.21
31/12/2017,PFE,26.19,3.13,8.37
30/9/2017,PFE,25.58,1.32,19.38
30/6/2017,PFE,23.84,1.18,20.2
31/12/2016,PFE,22.6,1.16,19.48
30/9/2016,PFE,23.34,1.13,20.65
30/6/2016,PFE,24.05,1.26,19.09
31/3/2016,PFE,20.07,1.35,14.86
31/12/2015,PFE,21.64,1.24,17.45
30/9/2015,PFE,20.88,1.33,15.7
30/6/2015,PFE,22.12,1.41,15.69
31/3/2015,PFE,22.76,1.44,15.81
31/12/2014,PFE,20.2,1.42,14.23
30/9/2014,PFE,19.01,1.62,11.74
30/6/2014,PFE,18.92,1.59,11.9
31/3/2014,PFE,20.29,3.12,6.5
31/12/2013,PFE,19.18,3.14,6.11
30/9/2013,PFE,17.85,3.6,4.96
30/6/2013,PFE,17.27,3.64,4.74
31/3/2013,PFE,17.64,2.09,8.44
31/12/2012,PFE,15.2,1.95,7.79
30/9/2012,PFE,14.92,1.29,11.57
30/6/2012,PFE,13.69,1.34,10.21
31/3/2012,PFE,13.35,1.24,10.76
31/12/2011,PFE,12.62,1.28,9.86
30/9/2011,PFE,10.21,1.45,7.04
30/6/2011,PFE,11.77,1.08,10.9
31/3/2011,PFE,11.49,1.06,10.84
31/12/2010,PFE,9.8,1.03,9.52
30/9/2010,PFE,9.51,0.77,12.36
30/6/2010,PFE,7.82,1.09,7.17
31/3/2010,PFE,9.3,1.12,8.31
31/12/2009,PFE,9.77,1.27,7.69
30/9/2009,PFE,8.81,1.68,5.24
27/9/2024,PG,173.55,,28.83
30/6/2024,PG,163.94,6.02,27.23
31/3/2024,PG,160.26,6.12,26.19
31/12/2023,PG,143.83,5.97,24.09
30/9/2023,PG,142.26,6.16,23.09
30/6/2023,PG,147.07,5.9,24.93
31/3/2023,PG,143.22,5.74,24.95
31/12/2022,PG,145.06,5.7,25.45
30/9/2022,PG,119.97,5.77,20.79
30/6/2022,PG,135.76,5.81,23.37
31/3/2022,PG,143.46,5.73,25.04
31/12/2021,PG,152.76,5.66,26.99
30/9/2021,PG,129.74,5.47,23.72
30/6/2021,PG,124.44,5.49,22.67
31/3/2021,PG,124.1,5.43,22.85
31/12/2020,PG,126.73,5.29,23.96
30/9/2020,PG,125.89,5.23,24.07
30/6/2020,PG,107.63,4.96,21.7
31/3/2020,PG,98.36,1.77,55.57
31/12/2019,PG,111.02,1.69,65.69
30/9/2019,PG,109.86,1.5,73.24
30/6/2019,PG,96.23,1.36,70.75
31/3/2019,PG,90.67,4.2,21.59
31/12/2018,PG,79.47,4.11,19.34
30/9/2018,PG,71.32,3.82,18.67
30/6/2018,PG,66.29,3.66,18.11
31/3/2018,PG,66.69,3.76,17.74
