date,returns,rewards,portfolio_values
2017-08-01,0.013366460800170898,-1571.1173508087488,154564.484375
2017-08-02,0.0008541345596313477,-1570.755206251177,154696.5
2017-08-03,-0.006550014019012451,-1570.3007448469411,153683.234375
2017-08-04,0.012502670288085938,-1570.00834638489,155604.6875
2017-08-07,0.0038121938705444336,-1569.788520433152,156197.890625
2017-08-08,-0.003560304641723633,-1569.5110315741874,155641.78125
2017-08-09,-0.0018264055252075195,-1569.2004841573548,155357.515625
2017-08-10,-0.01435929536819458,-1568.7011843861292,153126.6875
2017-08-11,-0.0063364505767822266,-1568.1185065116795,152156.40625
2017-08-14,0.011919021606445312,-1567.673164307773,153969.96875
2017-08-15,0.0017212629318237305,-1567.2645582365553,154234.984375
2017-08-16,-0.001936793327331543,-1566.8267984929007,153936.265625
2017-08-17,-0.01748722791671753,-1566.1947784151946,151244.34375
2017-08-18,0.0004589557647705078,-1565.5509918164985,151313.75
2017-08-21,-0.0040985941886901855,-1564.8804697143453,150693.578125
2017-08-22,0.01213371753692627,-1564.3220883591064,152522.046875
2017-08-23,-0.003694772720336914,-1563.739841005213,151958.515625
2017-08-24,-0.002229034900665283,-1563.1264389530077,151619.796875
2017-08-25,0.002369403839111328,-1562.536264297043,151979.046875
2017-08-28,-0.00293654203414917,-1561.92146024416,151532.75
2017-08-29,-0.005321383476257324,-1561.2553869379753,150726.390625
2017-08-30,0.0024236440658569336,-1560.6071151315518,151091.703125
2017-08-31,-0.0038136839866638184,-1559.932022248274,150515.484375
2017-09-01,0.007589221000671387,-1559.319408037034,151657.78125
2017-09-05,-0.022937119007110596,-1558.543929236037,148179.1875
2017-09-06,0.0032706260681152344,-1557.761422063506,148663.828125
2017-09-07,-0.0035149455070495605,-1556.9748066999932,148141.28125
2017-09-08,-0.003583371639251709,-1556.1659929403238,147610.4375
2017-09-11,0.009885549545288086,-1555.411563989674,149069.65625
2017-09-12,-0.001451730728149414,-1554.660680511032,148853.25
2017-09-13,0.006942391395568848,-1553.9510949238295,149886.65625
2017-09-14,-0.0058550238609313965,-1553.2100088825443,149009.0625
2017-09-15,0.0071648359298706055,-1552.5099599929795,150076.6875
2017-09-18,-0.0019298195838928223,-1551.806636088468,149787.0625
2017-09-19,0.0037429332733154297,-1551.1266610721896,150347.703125
2017-09-20,-0.006638884544372559,-1550.4040641532636,149349.5625
2017-09-21,-0.009774863719940186,-1549.6168709613585,147889.6875
2017-09-22,0.0026476383209228516,-1548.8381140205593,148281.25
2017-09-25,-0.015459120273590088,-1548.0037656543172,145988.953125
2017-09-26,4.5299530029296875e-06,-1547.1539604204,145989.609375
2017-09-27,0.008053183555603027,-1546.3413089289031,147165.296875
2017-09-28,0.0002669095993041992,-1545.5390556691175,147204.578125
2017-09-29,0.008385062217712402,-1544.7748378599092,148438.90625
2017-10-02,0.001591801643371582,-1544.028958238067,148675.1875
2017-10-03,-0.004701197147369385,-1543.2560923300998,147976.234375
2017-10-04,0.005788087844848633,-1542.5104761001971,148832.734375
2017-10-05,0.017136573791503906,-1541.8996582092761,151383.21875
2017-10-06,0.00038945674896240234,-1541.3070067889182,151442.171875
2017-10-09,0.0038080215454101562,-1540.7418474059943,152018.859375
2017-10-10,-9.47713851928711e-06,-1540.1805885907224,152017.421875
2017-10-11,0.001704573631286621,-1539.6343015319433,152276.546875
2017-10-12,0.009154319763183594,-1539.1870062339835,153670.53125
2017-10-13,0.004797101020812988,-1538.8048031263654,154407.703125
2017-10-16,0.0020732879638671875,-1538.4484048908541,154727.84375
2017-10-17,-0.0007700920104980469,-1538.0815814810219,154608.6875
2017-10-18,0.0002541542053222656,-1537.7157748079323,154647.984375
2017-10-19,0.003861665725708008,-1537.3998543026055,155245.1875
2017-10-20,0.011545777320861816,-1537.2511663134194,157037.609375
2017-10-23,0.0002524852752685547,-1537.1146790518817,157077.25
2017-10-24,0.0003808736801147461,-1536.977283188542,157137.078125
2017-10-25,-0.0029177069664001465,-1536.794631702199,156678.59375
2017-10-26,0.0016527175903320312,-1536.6325145006977,156937.53125
2017-10-27,0.06411731243133545,-1537.8041822194577,166999.9375
2017-10-30,0.0009555816650390625,-1539.0569308295665,167159.515625
2017-10-31,-0.008462727069854736,-1540.0394257363687,165744.890625
2017-11-01,-2.980232238769531e-07,-1541.0061686426388,165744.84375
2017-11-02,0.010459184646606445,-1542.2543611435335,167478.390625
2017-11-03,0.0010712146759033203,-1543.5351260821374,167657.796875
2017-11-06,0.003921627998352051,-1544.916687881129,168315.296875
2017-11-07,-0.002367854118347168,-1546.2235722639562,167916.75
2017-11-08,0.0034407377243041992,-1547.617437933244,168494.5
2017-11-09,-0.005557835102081299,-1548.8463813061664,167558.03125
2017-11-10,-0.0026163458824157715,-1549.9871721955496,167119.640625
2017-11-13,0.0007150173187255859,-1551.1400906588515,167239.140625
2017-11-14,0.0014252662658691406,-1552.3266377217813,167477.5
2017-11-15,-0.007771670818328857,-1553.297045632815,166175.921875
2017-11-16,0.0026509761810302734,-1554.321630940605,166616.453125
