date,symbol,ratingScore,ratingDetailsDCFScore,ratingDetailsROEScore,ratingDetailsROAScore,ratingDetailsPEScore,ratingDetailsPBScore
2022-08-29,AAPL,5,5,5,3,5,5
2022-08-26,AAPL,5,5,5,3,5,5
2022-08-25,AAPL,5,5,5,3,5,5
2022-08-24,AAPL,5,5,5,3,5,5
2022-08-23,AAPL,5,5,5,3,5,5
2022-08-22,AAPL,5,5,5,3,5,5
2022-08-19,AAPL,5,5,5,3,5,5
2022-08-18,AAPL,5,5,5,3,5,5
2022-08-17,AAPL,5,5,5,3,5,5
2022-08-16,AAPL,5,5,5,3,5,5
2022-08-15,AAPL,5,5,5,3,5,5
2022-08-12,AAPL,5,5,5,3,5,5
2022-08-11,AAPL,5,5,5,3,5,5
2022-08-09,AAPL,5,5,5,3,5,5
2022-08-08,AAPL,5,5,5,3,5,5
2022-08-05,AAPL,5,5,5,3,5,5
2022-08-04,AAPL,5,5,5,3,5,5
2022-08-03,AAPL,5,5,5,3,5,5
2022-08-02,AAPL,5,5,5,3,5,5
2022-08-01,AAPL,5,5,5,3,5,5
2022-07-29,AAPL,5,5,5,3,5,5
2022-07-28,AAPL,5,5,5,3,5,5
2022-07-27,AAPL,5,5,5,3,5,5
2022-07-26,AAPL,5,5,5,3,5,5
2022-07-25,AAPL,5,5,5,3,5,5
2022-07-22,AAPL,5,5,5,3,5,5
2022-07-21,AAPL,5,5,5,3,5,5
2022-07-20,AAPL,5,5,5,3,5,5
2022-07-19,AAPL,5,5,5,3,5,5
2022-07-18,AAPL,5,5,5,3,5,5
2022-07-15,AAPL,5,5,5,3,5,5
2022-07-14,AAPL,5,5,5,3,5,5
2022-07-13,AAPL,5,5,5,3,5,5
2022-07-12,AAPL,5,5,5,3,5,5
2022-07-11,AAPL,5,5,5,3,5,5
2022-07-08,AAPL,5,5,5,3,5,5
2022-07-07,AAPL,5,5,5,3,5,5
2022-07-06,AAPL,5,5,5,3,5,5
2022-07-05,AAPL,5,5,5,3,5,5
2022-07-01,AAPL,5,5,5,3,5,5
2022-06-30,AAPL,5,5,5,3,5,5
2022-06-29,AAPL,5,5,5,3,5,5
2022-06-28,AAPL,5,5,5,3,5,5
2022-06-27,AAPL,5,5,5,3,5,5
2022-06-24,AAPL,5,5,5,3,5,5
2022-06-23,AAPL,5,5,5,3,5,5
2022-06-22,AAPL,5,5,5,3,5,5
2022-06-21,AAPL,5,5,5,3,5,5
2022-06-17,AAPL,5,5,5,3,5,5
2022-06-16,AAPL,5,5,5,3,5,5
2022-06-15,AAPL,5,5,5,3,5,5
2022-06-14,AAPL,5,5,5,3,5,5
2022-06-13,AAPL,5,5,5,3,5,5
2022-06-10,AAPL,5,5,5,3,5,5
2022-06-09,AAPL,5,5,5,3,5,5
2022-06-08,AAPL,5,5,5,3,5,5
